"sample_id","Cohort","Mechanostress","LD_buffering","Turnover","Adjusted_LD_predicted","Adjusted_LD_residual","Adjusted_LD_excess"
"TCGA-AF-2687-01","CRC",1.43037330072957,0.388892502917455,0.32150698297203,0.0279188059898408,0.360973696927614,0.36234244374739
"TCGA-AF-2690-01","CRC",0.755164048761563,1.58581461504404,2.32212152949891,0.201646819200041,1.384167795844,1.38941630919753
"TCGA-AF-2691-01","CRC",-0.458635739434571,-0.313488862635491,0.975173623306829,0.0846814677051118,-0.398170330340602,-0.399680120051102
"TCGA-AF-2692-01","CRC",0.434400778679706,0.97037186671387,0.256319079983246,0.0222580629490383,0.948113803764832,0.951708879430271
"TCGA-AF-2693-01","CRC",-0.112719871737161,0.302173516979638,0.484650906595433,0.0420857877143393,0.260087729265299,0.261073934784771
"TCGA-AF-3400-01","CRC",-0.0594826633537761,-1.38713129322169,1.00765895608466,0.0875024070668509,-1.47463370028854,-1.48022524395165
"TCGA-AF-3911-01","CRC",0.0360269351338533,0.174446962292637,1.27300529114562,0.110544372688253,0.0639025896043844,0.0641448966396085
"TCGA-AF-4110-01","CRC",0.256434898526757,-0.295458128006163,0.624358267389943,0.0542176010433021,-0.349675729049465,-0.351001636023194
"TCGA-AF-5654-01","CRC",-1.17458513178358,-0.752329782236433,-0.508644285455487,-0.0441693085238792,-0.708160473712554,-0.710845689850279
"TCGA-AF-6136-01","CRC",0.0570529434244873,0.0246452211392882,-0.446084895484264,-0.03873681851914,0.0633820396584282,0.0636223728626249
"TCGA-AF-6655-01","CRC",0.838436714764583,-0.452498066841441,0.172730488862307,0.0149994533944438,-0.467497520235885,-0.469270186082515
"TCGA-AF-6672-01","CRC",-0.155089455831222,-1.87296657495763,0.0940125759362817,0.00816380049947041,-1.8811303754571,-1.88826328082085
"TCGA-AF-A56K-01","CRC",0.398075050631947,-1.13453280515284,0.0690532746613127,0.00599640157240433,-1.14052920672525,-1.14485388671676
"TCGA-AF-A56L-01","CRC",-0.127036966522616,-0.0167974051863443,-0.15397871173882,-0.0133710992522231,-0.00342630593412127,-0.00343929786508691
"TCGA-AF-A56N-01","CRC",0.214943425435644,1.01002029319247,0.396462535279957,0.0344277455575037,0.97559254763497,0.979291817715691
"TCGA-AG-3574-01","CRC",-0.993752706226623,-0.075994098428354,0.40401148954855,0.0350832765438069,-0.111077374972161,-0.111498560241437
"TCGA-AG-3575-01","CRC",0.156042249407845,-2.87662881887923,1.22324104681201,0.106222978888536,-2.98285179776776,-2.99416223103978
"TCGA-AG-3578-01","CRC",0.00648225709720734,0.180874749111082,-0.827412010709292,-0.0718502447042241,0.252724993815306,0.253683281176703
"TCGA-AG-3580-01","CRC",-1.35168371224624,-0.813139435645325,-0.937596154433378,-0.0814183408723161,-0.731721094773009,-0.734495648514618
"TCGA-AG-3581-01","CRC",-0.49028948489843,0.492920762582278,0.196201028108576,0.0170375722111369,0.475883190371141,0.477687653158732
"TCGA-AG-3582-01","CRC",-0.0242589859782217,0.194228251931896,0.577668131727971,0.0501631546137533,0.144065097318143,0.144611366050389
"TCGA-AG-3583-01","CRC",-1.5713314742803,-0.543327039524584,-0.980586731562462,-0.0851515275395637,-0.45817551198502,-0.4599128304663
"TCGA-AG-3584-01","CRC",-0.610893844109524,-0.306855920607364,0.729218845604898,0.0633234130294156,-0.370179333636779,-0.371582986562115
"TCGA-AG-3586-01","CRC",-0.667553438377675,1.46589316209888,-0.0170913504531396,-0.00148416713377286,1.46737732923266,1.47294135805219
"TCGA-AG-3587-01","CRC",-0.781323382384849,0.727672534765627,-0.652299773009042,-0.0566439666146886,0.784316501380316,0.787290487369042
"TCGA-AG-3591-01","CRC",-0.913778352560678,-0.996618955815725,0.553853057942058,0.048095117339675,-1.0447140731554,-1.04867543953023
"TCGA-AG-3592-01","CRC",-0.755446877798438,-0.157046385065627,0.377151433407943,0.0327508211509761,-0.189797206216603,-0.190516882815265
"TCGA-AG-3593-01","CRC",-0.782389901505335,0.120994530164021,0.733301377939887,0.0636779292117833,0.0573166009522382,0.0575339351124317
"TCGA-AG-3594-01","CRC",-0.748254071963044,-0.238540470707118,-0.126695101437495,-0.011001863549584,-0.227538607157534,-0.228401392306629
"TCGA-AG-3598-01","CRC",-1.04557373648269,0.336604482946473,-0.740464356506248,-0.0642999431010463,0.400904426047519,0.40242458295329
"TCGA-AG-3599-01","CRC",-0.158055280564012,1.42701037355743,-0.274662932035714,-0.0238509939697737,1.4508613675272,1.45636277081403
"TCGA-AG-3600-01","CRC",-0.592775955389803,0.281482933518732,-1.219526314412,-0.105900401468222,0.387383334986954,0.388852222366589
"TCGA-AG-3601-01","CRC",-0.776666330824666,0.287763168281713,0.999972379644191,0.0868349253394437,0.20092824294227,0.20169012641431
"TCGA-AG-3602-01","CRC",-2.22819117666898,-1.69201558992959,0.576287576331895,0.0500432708777767,-1.74205886080737,-1.74866443219909
"TCGA-AG-3605-01","CRC",-2.04834814817271,0.179494615110404,0.043037284730714,0.00373724263037511,0.175757372480029,0.176423812574367
"TCGA-AG-3608-01","CRC",-1.6201299105047,-0.6281711828253,-0.360905159072834,-0.0313400381657147,-0.596831144659585,-0.599094220163835
"TCGA-AG-3609-01","CRC",-0.434448081007355,0.0619552440600227,0.000488348931992247,4.24069143432071e-05,0.0619128371456795,0.0621475994002917
"TCGA-AG-3725-01","CRC",0.0688932978239915,0.111428001153861,0.324505575779953,0.0281791957644988,0.0832488053893623,0.0835644697676719
"TCGA-AG-3726-01","CRC",-0.500106378642067,0.83496372877473,-2.50723700675051,-0.217721751841724,1.05268548061645,1.05667707312328
"TCGA-AG-3727-01","CRC",-0.987451444475669,1.26027989288004,-3.32818278572352,-0.289010486286787,1.54929037916683,1.55516500742213
"TCGA-AG-3728-01","CRC",-0.227123677585193,-1.43728638373447,0.445337509894186,0.0386719175546382,-1.47595830128911,-1.48155486759908
"TCGA-AG-3731-01","CRC",1.14792901652765,-0.857070908089034,-0.948537207744595,-0.0823684326616039,-0.77470247542743,-0.777640006772618
"TCGA-AG-3732-01","CRC",0.842953097018849,-1.33814790368115,-0.965351241279475,-0.0838285183363456,-1.2543193853448,-1.25907553706523
"TCGA-AG-3742-01","CRC",0.181576819142971,0.104147266660888,1.35325709190902,0.11751322429806,-0.0133659576371718,-0.0134166389254896
"TCGA-AG-3878-01","CRC",-0.0055595411484965,0.841094698308315,-0.92119126287547,-0.0799937839919156,0.921088482300231,0.924581082845951
"TCGA-AG-3881-01","CRC",0.28300640663777,-0.0309114605247373,-0.688317464623631,-0.0597716465645736,0.0288601860398363,0.0289696186333919
"TCGA-AG-3882-01","CRC",-1.7571215134281,-1.3718117498381,-0.334466836527299,-0.029044204989644,-1.34276754484846,-1.34785907595544
"TCGA-AG-3883-01","CRC",-1.50041067327395,-0.560076775561578,-1.00040084903375,-0.0868721324745703,-0.473204643087007,-0.474998949308876
"TCGA-AG-3885-01","CRC",-1.43816480043771,-0.381689907358813,-1.00070503184355,-0.0868985468957252,-0.294791360463087,-0.295909155860828
"TCGA-AG-3887-01","CRC",-1.53936602120926,-1.26951635846449,-1.11835114770523,-0.0971146207546445,-1.17240173770984,-1.17684727256085
"TCGA-AG-3890-01","CRC",-0.649282842233855,-0.262802469273114,0.11106406105718,0.00964450583447835,-0.272446975107592,-0.273480044646758
"TCGA-AG-3892-01","CRC",-1.35193416396806,-0.0755547416018118,0.323341082568554,0.0280780742904176,-0.103632815892229,-0.104025772743059
"TCGA-AG-3893-01","CRC",0.12002585054175,-0.756816983908778,1.48416605768141,0.128881008549415,-0.885697992458193,-0.889056398682183
"TCGA-AG-3894-01","CRC",-0.998439413070903,0.548377425559047,0.0260443853465442,0.00226162472395852,0.546115800835088,0.548186572949467
"TCGA-AG-3896-01","CRC",-0.208972670493996,-0.51019247944308,0.539342935176166,0.0468350971104253,-0.557027576553505,-0.559139724143271
"TCGA-AG-3898-01","CRC",0.276098146114741,-0.151710746193439,-0.822596119112361,-0.0714320455661527,-0.0802787006272868,-0.0805831029067728
"TCGA-AG-3901-01","CRC",1.07662066775857,-0.981944640180358,0.621375324628466,0.0539585702767955,-1.03590321045715,-1.0398311676379
"TCGA-AG-3902-01","CRC",-0.072078331850489,-0.123348198326164,0.0481952969297173,0.00418515060595315,-0.127533348932117,-0.128016932271435
"TCGA-AG-3909-01","CRC",-0.148445304390045,0.218707183936703,0.744454867390049,0.064646468386859,0.154060715549844,0.154644885854373
"TCGA-AG-3999-01","CRC",-0.481409681739406,0.984178956427445,-0.298340801717782,-0.0259071168066576,1.0100860732341,1.01391613651075
"TCGA-AG-4001-01","CRC",0.646100761167906,1.27881623084291,1.15830231951149,0.100583873597662,1.17823235724525,1.18270000074853
"TCGA-AG-4005-01","CRC",0.249413761155961,0.450043041697624,0.758506426273397,0.0658666681557492,0.384176373541874,0.385633100705083
"TCGA-AG-4007-01","CRC",-0.50619246835007,0.539157741884028,1.11079897611998,0.0964588103851728,0.442698931498856,0.444377565592598
"TCGA-AG-4008-01","CRC",0.177316417597588,0.0561736581517959,1.15669219935873,0.100444055072572,-0.0442703969207766,-0.0444382622403587
"TCGA-AG-4015-01","CRC",-0.276074597421321,0.859314326379187,0.402631919520979,0.0349634783745941,0.824350848004593,0.827476636978108
"TCGA-AG-4021-01","CRC",1.08375433136206,1.06557464666924,0.881165835210731,0.0765180829688697,0.989056563700368,0.99280688688919
"TCGA-AG-4022-01","CRC",0.330617899583485,-0.995854000339906,1.36116993720555,0.118200354607391,-1.1140543549473,-1.11827864710035
"TCGA-AG-A002-01","CRC",0.306327995725098,-0.777847714149782,-0.515677872603526,-0.0447800864086501,-0.733067627741132,-0.73584728729165
"TCGA-AG-A008-01","CRC",-0.657841010514345,0.319348421940884,-1.05765130576027,-0.0918436089240157,0.4111920308649,0.412751196503154
"TCGA-AG-A00C-01","CRC",-0.581103119432819,1.66916203406231,0.0581075774157192,0.00504590651628334,1.66411612754603,1.67042615422304
"TCGA-AG-A00Y-01","CRC",-0.785133683718299,1.09335238082375,-0.000640112249013233,-5.55856346469152e-05,1.0934079664584,1.09755397124918
"TCGA-AG-A011-01","CRC",-0.595051841174288,0.837003986068059,0.321997074809494,0.0279613642534313,0.809042621814628,0.812110364769576
"TCGA-AG-A015-01","CRC",0.0326129111848187,0.119648754426463,-0.516406143050102,-0.0448433274652459,0.164492081891709,0.16511580604636
"TCGA-AG-A016-01","CRC",-0.334532715737557,0.598947970146095,-0.995633509387568,-0.0864581494579684,0.685406119604063,0.688005055356023
"TCGA-AG-A01J-01","CRC",-0.775067324011508,0.842162854063925,1.02685248018987,0.0891691213347682,0.752993732729157,0.755848948457494
"TCGA-AG-A01L-01","CRC",-0.112702719113747,1.12971742098617,-0.39094619366831,-0.0339487212146865,1.16366614220086,1.16807855325733
"TCGA-AG-A01N-01","CRC",-0.767350505412805,0.795076060955787,-0.22842144342198,-0.0198355068492324,0.81491156780502,0.818001564739214
