"sample_id","Cohort","Mechanostress","LD_buffering","Turnover","Adjusted_LD_predicted","Adjusted_LD_residual","Adjusted_LD_excess"
"TCGA-3C-AAAU-01","BRCA",-0.924376962410945,-1.81818530958554,-0.359623636877225,-0.110209200658745,-1.70797610892679,-1.794310271058
"TCGA-3C-AALI-01","BRCA",-0.38235208454503,0.943009539573283,-0.145421466519735,-0.0445654343605784,0.987574973933862,1.03749455856429
"TCGA-3C-AALJ-01","BRCA",-0.183956949533468,0.108664343239519,-0.456695437665134,-0.139957538849859,0.248621882089378,0.261189131575764
"TCGA-3C-AALK-01","BRCA",0.771013762557103,0.133484176418462,-0.846709787606449,-0.259480187932984,0.392964364351446,0.412827785722733
"TCGA-4H-AAAK-01","BRCA",0.475758679203949,-0.555276966721726,-0.3758271495242,-0.115174881424879,-0.440102085296847,-0.462348207234803
"TCGA-5L-AAT0-01","BRCA",-0.0626780919999262,-1.29832293479861,-0.645047615414301,-0.19767939254202,-1.10064354225659,-1.15627847621685
"TCGA-5T-A9QA-01","BRCA",-2.10853345975538,-0.715512737647996,-0.270735851386709,-0.0829689116935921,-0.632543825954404,-0.664517423793167
"TCGA-A1-A0SB-01","BRCA",0.916985532769553,-1.59582272547418,-1.1167675695031,-0.34224130044758,-1.2535814250266,-1.31694700808556
"TCGA-A1-A0SD-01","BRCA",1.22225598077756,0.540919559927273,0.680027343837886,0.208399177098728,0.332520382828545,0.349328503558694
"TCGA-A1-A0SE-01","BRCA",0.672064589053711,-0.146004944592108,-1.02270128758955,-0.313414024719393,0.167409080127285,0.175871214105861
"TCGA-A1-A0SF-01","BRCA",-0.241830976295662,-0.562453582631207,-0.93366470812023,-0.286128136789695,-0.276325445841512,-0.290293045105678
"TCGA-A1-A0SG-01","BRCA",0.622203024984144,0.195110308887269,0.145953070406841,0.0447283481222328,0.150381960765036,0.157983414037386
"TCGA-A1-A0SH-01","BRCA",1.68507200478534,0.830869386675715,1.32941409944775,0.407408329766228,0.423461056909487,0.44486601412897
"TCGA-A1-A0SI-01","BRCA",1.11598379824432,0.403918612689057,0.198208927049312,0.0607425240543645,0.343176088634693,0.360522830149923
"TCGA-A1-A0SJ-01","BRCA",0.565532165156428,1.18286770307017,0.993793265793538,0.304554957494478,0.878312745575689,0.922709382379985
"TCGA-A1-A0SK-01","BRCA",-1.12567575597257,-2.16185654872318,-2.56709995123251,-0.786705890895139,-1.37515065782804,-1.44466127874789
"TCGA-A1-A0SM-01","BRCA",0.678159856303291,0.145334929976788,-0.395651197458902,-0.121250100772738,0.266585030749527,0.280060275014474
"TCGA-A1-A0SN-01","BRCA",0.41482100958737,0.461346369227712,-0.0593252271576058,-0.0181806344007653,0.479527003628477,0.503765962160261
"TCGA-A1-A0SO-01","BRCA",-1.34475045879227,-0.222244245419197,-1.12486464740667,-0.344722707095857,0.122478461676659,0.128669458911754
"TCGA-A1-A0SP-01","BRCA",0.994422462497575,-0.887271423078905,-0.947498612805643,-0.290367634478467,-0.596903788600439,-0.627075866647914
"TCGA-A1-A0SQ-01","BRCA",-0.779328145542609,1.57612324274697,0.186751590691968,0.0572313424963724,1.5188919002506,1.59566830180016
"TCGA-A2-A04N-01","BRCA",0.011735355575905,-1.2851351694171,0.0187911046678561,0.0057586665963405,-1.29089383601344,-1.35614547340466
"TCGA-A2-A04P-01","BRCA",-0.420046983930129,-0.390927901544481,-1.82378459230925,-0.55891165507779,0.167983753533308,0.176474935896548
"TCGA-A2-A04Q-01","BRCA",0.219552913618438,-0.699801612116111,-0.114043874927314,-0.0349495500487818,-0.664852062067329,-0.698458765006433
